"ID","Name","Desc","Turn"
20666,"Gamma Ti Sid Sector 0008","Explore Map",88
20700,"Sigma 2398 A Sector 0008","",49
20704,"Texiconia Sector 0008","",58
20771,"Bootes Sector 0008","",126
20904,"Hiperborealia Sector 0008","",56
20967,"terangui Sector 0008","",50
21010,"Centouria Sector 0008","Explore Map",112
21094,"Bubble World Sector 0008","",99
21166,"New New York Sector 0008","",61
21316,"Rigel Sector 0008","",58
21385,"Dagaba Sector 0008","Stellar Cartography",65
21439,"Cumo Sector 0008","Stellar Cartography",63
21499,"Tholia Sector 0008","",77
21544,"Flatland Sector 0008","",64
21612,"Kzin Sector 0008","",128
21682,"Spica Sector 0008","",75
21685,"Gotti's Hideout Sector 0008","Stellar Cartography",122
21699,"Scorpius Sector 0008","",60
21815,"Ophiuchi Sector 0008","",52
21874,"Virgo Ceti 5 Sector 0008","",76
21948,"Mao 6 Sector 0008","",89
22062,"Turning World Sector 0008","",59
22158,"Upikarium Sector 0008","",257
22183,"Gorbie World Sector 0008","",73
22266,"Honda Sector 0008","",75
22300,"Phoenix Sector 0008","Stellar Cartography",53
22428,"Delta Delta Delta Sector 0009","",80
22445,"Tanascuis Sector 0009","",66
22545,"Rappaport Sector 0009","",88
22613,"URSA Beta Sector 0009","Stellar Cartography",94
22667,"Shaw Sector 0009","",43
22685,"Rator Sector 0009","",147
22731,"Erecka Sector 0009","",49
22767,"Disney World Sector 0009","",68
22887,"Exxonia Sector 0009","",92
22938,"Alkes Sector 0009","Stellar Cartography",82
22968,"New Bohemia Sector 0009","",73
23013,"Ice Planet Sector 0009","",112
23021,"Small World Sector 0009","",77
23134,"Venturia Sector 0009","",51
23154,"Kiloteria Sector 0009","",44
23209,"New Georgia Sector 0009","",52
23231,"New Mars Sector 0009","",68
23413,"Cani Ceti 1 Sector 0009","",70
23525,"Arigo Sector 0009","",53
23539,"Oakhurst Sector 0009","",116
23604,"Casablanca Sector 0009","",54
23669,"Sinatra's Keep Sector 0009","",162
23766,"Pedmont Sector 0009","",85
23864,"The Scorpius War","Championship Match",155
23910,"Innsmouth Sector 0009","Stellar Cartography",116
23911,"Tarsus Sector 0009","",61
23935,"Roll Sector 0009","",85
24008,"Lost Planet Sector 0009","",49
24264,"Tesmond Sector 0009","",47
24285,"Sol 3 Sector 0009","",112
24422,"Sumit Sector 0009","",58
24535,"Virgo Pegasi Sector 0009","",76
24590,"Cor Caroli Sector 0009","",64
24594,"Falcondonia Sector 0009","",156
24699,"Taulus Sector 0010","",73
24813,"Atlantia 2 Sector 0010","",79
24933,"Gotti's Hideout Sector 0010","Stellar Cartography",110
24976,"Wally World Sector 0010","",55
25156,"Tniacth Sector 0010","",81
25253,"Colony 6 Sector 0010","",74
25355,"Zimphfir Sector 0010","",104
25377,"Tarekoc Sector 0010","",61
25476,"Moth Ball Sector 0010","Officers Game",85
25526,"Mekbuda Sector 0010","",73
25536,"Kzoz Sector 0010","",75
25576,"Yoggoth Sector 0010","",44
25608,"Wrong Planet Sector 0010","",76
25721,"New Sinewnew Sector 0010","Stellar Cartography",77
25733,"Wooky World Sector 0010","",74
25809,"Alcor Sector 0010","",69
25877,"AC 71 Sector 0010","",85
25939,"Timbucktoo Sector 0010","",68
26100,"Ovion Sector 0010","Stellar Cartography",79
26105,"World of Wonder Sector 0010","",78
26219,"Innes Sector 0010","",55
26220,"Exodious Sector 0010","",114
26330,"Adviel Sector 0010","",68
26402,"Sussex Sector 0010","",58
26461,"New Alaska Sector 0010","Officers Game",110
26475,"Amascusin Sector 0010","",72
26566,"New Boston Sector 0010","",49
26605,"Twin Planet Sector 0010","",94
26687,"Black Beard Sector 0010","",76
26811,"Bootie Sector 0010","",52
26823,"Aranumia Sector 0010","",80
27040,"Vela Sector 0011","",66
27068,"Mao 2 Sector 0011","",150
27131,"Alienation Sector 0011","",65
27139,"Mobious Sector 0011","Stellar Cartography",76
27221,"Crab Sector 0011","",54
27339,"New New Mexico Sector 0011","",58
27462,"Bellmont Sector 0011","",58
27483,"Adobee Sector 0011","",102
27489,"Sagitta Sector 0011","",86
27589,"Crete Sector 0011","",63
27593,"Minhabotia Sector 0011","Officers Game",103
27608,"New Wisconsin Sector 0011","",79
27682,"Cleopatra Sector 0011","",87
27716,"Big Dave's Planet Sector 0011","",53
27880,"Tataween Sector 0011","",50
27889,"Perot's World Sector 0011","",158
27953,"New Philli Sector 0011","Stellar Cartography",78
28087,"Ali Zef Sector 0011","",88
28088,"Kattia Sector 0011","",90
28089,"Big World Sector 0011","Stellar Cartography",139
28185,"Arkham Sector 0011","",80
28306,"Cygnet Sector 0011","",77
28436,"Krell Sector 0011","",55
28467,"Cumo Sector 0011","Stellar Cartography",59
28472,"Jaws 3D Sector 0011","Officers Game",68
28474,"Arkto Sector 0011","",70
28586,"Carillon Sector 0011","",80
28620,"Delta Sector 0011","",81
28632,"Murphrid 432 Sector 0011","",64
28736,"New Chicago Sector 0011","",130
28746,"New New Jersy Sector 0011","",61
28811,"Epsilon Indi Sector 0011","",52
28887,"Center Sector 0011","",71
28889,"Bimbo Sector 0011","",98
29019,"Pisro Sector 0012","",50
29029,"Dark World Sector 0012","Stellar Cartography",52
29048,"Chrome Sector 0012","Officers Game",92
29147,"Bendotex Sector 0012","",94
29152,"Estes Sector 0012","",54
29282,"Fresno Sector 0012","",82
29367,"Regula Sector 0012","",77
29384,"Sanstrisious Sector 0012","",47
29453,"Remus Sector 0012","Stellar Cartography",62
29526,"Telalia Sector 0012","",75
29549,"Embassy Planet Sector 0012","Officers Game",58
29562,"Cave World Sector 0012","",55
29691,"Cue Ball Sector 0012","",60
29830,"Wrigley Sector 0012","",63
29851,"Canes Ceti Sector 0012","",95
29912,"Cestus 3 Sector 0012","",49
29954,"Thi Alpha Chi Sector 0012","",62
30012,"Euro Disney World Sector 0012","",77
30135,"Forbidden Planet Sector 0012","",60
30184,"Anditius Sector 0012","",71
30285,"Football Sector 0012","Beginners Game",61
30287,"Delphi Sector 0012","Officers Game",87
30315,"Atlantia 11 Sector 0012","Officers Game",93
30344,"Helios Sector 0012","Senior Officers Game",74
30609,"Gamma Delphi Sector 0012","Beginners Game",86
30735,"Grus Sector 0012","Officers Game",209
30765,"Cevius Sector 0012","Beginners Game",81
30791,"Niopedia Sector 0012","Officers Game",63
30873,"New Philli Sector 0012","Officers Game",83
30905,"Ceti Alpha one Sector 0012","Beginners Game",71
30959,"Vega Sector 0012","Beginners Game",109
30975,"Kanthu Sector 0012","Senior Officers Game",102
31038,"Thorak Sector 0012","Beginners Game",60
31138,"Dark World Sector 0012","Officers Game",65
31204,"Garfield Sector 0013","Officers Game",94
31329,"Under World Sector 0013","Beginners Game",60
31330,"The Right Planet Sector 0013","Officers Game",81
31416,"Gorath Sector 0013","Beginners Game",84
31431,"Canes Delta Sector 0013","Officers Game",164
31449,"Karelia Sector 0013","Senior Officers Game",144
31587,"Forel Sector 0013","Beginners Game",166
31588,"Colony 5 Sector 0013","Officers Game",116
31654,"Sarol Sector 0013","Officers Game",56
31681,"Another World Sector 0013","Beginners Game",128
31689,"Nixon Sector 0013","Senior Officers Game",45
31774,"Zol Sector 0013","Beginners Game",51
31901,"Hallone Sector 0013","Beginners Game",60
31948,"Ikaal Sector 0013","Officers Game",69
32036,"Beta Xela Sector 0013","Beginners Game",51
32113,"Madagon Sector 0013","Officers Game",97
32231,"Scoptor Sector 0013","Senior Officers Game",51
32284,"Gamma Hydra Sector 0013","Beginners Game",61
32321,"Bodonia Sector 0013","Officers Game",55
32472,"Kazh Sector 0013","Beginners Game",105
32562,"Omicron Sector 0013","Officers Game",94
32603,"Hiperborealia Sector 0013","Beginners Game",98
32718,"Delta Pegasi Sector 0013","Beginners Game",79
32805,"Rator Sector 0013","Officers Game",51
32816,"Part Ofyour World Sector 0013","Beginners Game",87
32926,"Cutimurium Sector 0013","Beginners Game",69
33030,"Moriak Sector 0013","Officers Game",67
33128,"Laseria Sector 0013","Beginners Game",105
33270,"Antilia Sector 0014","Officers Game",56
33341,"Ravenhurst Sector 0014","Beginners Game",130
33399,"Dull Planet Sector 0014","Officers Game",82
33460,"Endonians Sector 0014","Beginners Game",94
33562,"Kojak City Sector 0014","Officers Game",134
33601,"Elvis Sector 0014","Officers Game",77
33663,"Leshy Sector 0014","Beginners Game",105
33690,"Australis Sector 0014","Teams of 3",89
33729,"Tesla Sector 0014","Beginners Game",66
33876,"Orkney World Sector 0014","Giant Melee",125
33942,"Gotti's Hideout Sector 0014","Giant Melee",138
34061,"Edna Sector 0014","Officers Game",181
34163,"Timbucktoo Sector 0014","Beginners Game",67
34252,"Melpedous Sector 0014","Giant Melee",143
34314,"Alioth Sector 0014","Beginners Game",63
34455,"Zippi Sector 0014","Beginners Game",106
34456,"Farpoint Sector 0014","Giant Melee",72
34589,"Caeladium Sector 0014","Stellar Cartography",135
34696,"Lorah-2 Sector 0014","Officers Game",46
34736,"Fussbar Sector 0014","Beginners Game",114
34764,"Sif Sector 0014","Senior Officers Game",128
34784,"Endor Sector 0014","Officers Game",107
34790,"Maares 3 Sector 0014","Beginners Game",147
34842,"Madonna Sector 0014","Beginners Game",87
34954,"Achernar Sector 0014","Beginners Game",64
34999,"Mao 4 Sector 0014","Beginners Game",88
35052,"Corboda Vh 243 Sector 0014","Stellar Cartography",123
35096,"Lyra Sector 0014","Beginners Game",89
35138,"Organia Sector 0014","Officers Game",102
35184,"Oceanlandia Sector 0014","Senior Officers Game",108
35241,"Eranda Sector 0014","Beginners Game",65
35250,"New Moscow Sector 0014","Giant Melee",151
35342,"Milab Sector 0014","Officers Game",52
35390,"Fantasia Sector 0015","Beginners Game",62
35523,"Twin Planet Sector 0015","Beginners Game",55
35608,"Holstein Sector 0015","Giant Melee",65
35609,"Carillon Sector 0015","Stellar Cartography",81
35639,"Serada 9 Sector 0015","Beginners Game",70
35652,"Merah-5 Sector 0015","Officers Game",51
35663,"New Sinewnew Sector 0015","Stellar Cartography",66
35748,"Aranumia Sector 0015","Beginners Game",55
35927,"Cylon Sector 0015","Senior Officers Game",78
35961,"Launa Planet Sector 0015","Officers Game",56
36020,"Eridani Sector 0015","Beginners Game",75
36033,"Remus Sector 0015","Giant Melee",72
36109,"Shaw Sector 0015","Beginners Game",85
36163,"Tunisia Sector 0015","Stellar Cartography",130
36214,"Mao 3 Sector 0015","Officers Game",86
36293,"Morning Star Sector 0015","Beginners Game",92
36340,"Fornax Sector 0015","Senior Officers Game",68
36361,"Baseball Sector 0015","Beginners Game",100
36494,"Memphis Sector 0015","Stellar Cartography",103
36507,"Limball Sector 0015","Beginners Game",68
36555,"Flatland Sector 0015","Officers Game",54
36636,"Sirius A Sector 0015","Beginners Game",127
36690,"Vogon Sector 0015","Stellar Cartography",53
36722,"Organia 3 Sector 0015","Beginners Game",97
36856,"Tniacth Sector 0015","Beginners Game",79
36872,"Wrong Planet Sector 0015","Officers Game",82
36959,"Cuhia Sector 0015","Stellar Cartography",62
36980,"Lottl Sector 0015","Beginners Game",100
36988,"Galibor's World Sector 0015","Giant Melee",57
37133,"Muracha Sector 0015","Beginners Game",56
37194,"Bortex Sector 0016","Officers Game",54
37424,"Zarop-Opar System 0016","Giant Melee",185
37468,"New Ireland Sector 0016","Beginners Game",51
37474,"Barnard's Sector 0016","Officers Game",226
37478,"Caeladium Sector 0016","Stellar Cartography",82
37567,"Nothing Planet Sector 0016","Beginners Game",168
37592,"Up World Sector 0016","Senior Officers Game",145
37626,"Mao 1 Sector 0016","Officers Game",76
37727,"Orionis I Sector 0016","Beginners Game",62
37800,"Innsmouth Sector 0016","Giant Melee",79
37813,"Star Curcuit Sector 0016","Officers Game",63
37952,"Bubble World Sector 0016","Beginners Game",67
38200,"Colony 10 Sector 0016","Officers Game",83
38268,"Columbo Sector 0016","Beginners Game",70
38378,"Corboda Vh 243 Sector 0016","Stellar Cartography",68
38429,"Delta Delta Delta Sector 0016","Beginners Game",77
38553,"The Taurus War","Championship Match",110
38591,"Korvus Sector 0016","Teams of 3",113
38592,"Canes Delta Sector 0016","Stellar Cartography",92
38615,"Disney World Sector 0016","Officers Game",52
38721,"Gorbie World Sector 0016","Beginners Game",61
38747,"Mobious Sector 0016","Giant Melee",90
38798,"Washington Sector 0016","Senior Officers Game",192
38880,"terangui Sector 0016","Beginners Game",55
38909,"Gorn Sector 0016","Officers Game",89
38952,"New California Sector 0016","Stellar Cartography",63
38990,"Tholia Sector 0016","Beginners Game",69
39146,"Hercules Sector 0016","Beginners Game",73
39193,"Memphis Sector 0016","Giant Melee",204
39237,"Virgo Ceti 5 Sector 0016","Beginners Game",68
39289,"Exxonia Sector 0016","Beginners Game",99
39347,"Moriak Sector 0016","Stellar Cartography",77
39372,"Falcondonia Sector 0016","Officers Game",72
39465,"Great White Planet Sector 0016","Beginners Game",62
39632,"Innes Sector 0016","Beginners Game",100
39713,"Hudrak-12 Sector 0017","Officers Game",58
39730,"Kugo Sector 0017","Stellar Cartography",67
39897,"Cani Ceti 1 Sector 0017","Beginners Game",52
39943,"Honda Sector 0017","Officers Game",70
39999,"Itarius Sector 0017","Beginners Game",68
40039,"Ice Planet Sector 0017","Teams of 3",49
40072,"Moriak System 0017","Stellar Cartography",81
40088,"Portsmouth System 0017","Officers Game",93
40231,"Zarop-Opar System 0017","Giant Melee",94
40311,"Hypoguria System 0017","Beginners Game",136
40421,"Ohular System 0017","Officers Game",74
40541,"Phoenix System 0017","Stellar Cartography",66
40639,"Jernsey System 0017","Beginners Game",82
40708,"Gamma Ti Sid System 0017","Teams of 3",140
40773,"Kattia System 0017","Beginners Game",243
40794,"Fornax System 0017","Giant Melee",89
40897,"New Moscow System 0017","Stellar Cartography",116
40925,"Holstein System 0017","Giant Melee",110
40940,"Regenal System 0017","Senior Officers",80
40946,"Casablanca System 0017","Beginners",66
40955,"Kiloteria System 0017","Officers",125
41128,"Zimphfir System 0017","Beginners",69
41214,"Memory Alpha System 0017","Officers",54
41335,"Smith's World System 0017","Senior Officers",72
41702,"Mob World Sector 0017","Teams of 2",79
41707,"Bellmont Sector 0017","Officers",112
41748,"Kura Sector 0017","Beginners",72
41752,"Moriak Sector 0017","Giant Melee",160
41753,"New California Sector 0017","Stellar Cartography",112
41757,"Tyre Sector 0017","Senior Officers",85
41817,"The Right Planet Sector 0017","Giant Melee",74
41875,"Sagitta Sector 0017","Teams of 2",67
41923,"Libra Sector 0017","Officers",88
41936,"Milon Sector 0017","Beginners",96
41999,"Nekkar 9 Sector 0018","Beginners",85
42047,"Owen 1717 Sector 0018","Beginners",80
42061,"Ordaz Sector 0018","Teams of 2",69
42096,"Mirak Sector 0018","Officers",86
42165,"Caelum Sector 0018","Giant Melee",63
42174,"Nercodonia Sector 0018","Beginners",94
42191,"Dark World Sector 0018","Giant Melee",113
42202,"Cleopatra Sector 0018","Officers",87
42229,"Capricornus Sector 0018","Giant Melee",59
42293,"Estes Sector 0018","Beginners",68
42333,"Sigma 2398 A Sector 0018","Beginners",93
42355,"Atlantia 11 Sector 0018","Giant Melee",48
42365,"Ugo Sector 0018","Teams of 2",63
42401,"Epsilon Indi Sector 0018","Officers",60
42419,"Ve'vla Vegus Sector 0018","Senior Officers",118
42421,"Sanstrisious Sector 0018","Teams of 2",118
42448,"Mekbuda Sector 0018","Officers",255
42505,"Poe Sector 0018","Giant Melee",59
42544,"New Endeaver Sector 0018","Officers",54
42557,"Forbidden Planet Sector 0018","Beginners",118
42575,"Orkney World Sector 0018","Giant Melee",107
42576,"Rocky 12 Sector 0018","Stellar Cartography",54
42599,"Texiconia Sector 0018","Beginners",93
42665,"Orlakwarr Sector 0018","Teams of 2",93
42695,"Bazal Sector 0018","Senior Officers",160
42742,"Alycyone Sector 0018","Giant Melee",59
42770,"Crab Sector 0018","Beginners",67
42792,"Nekkar Sector 0018","Officers",60
42887,"Remus Sector 0018","Giant Melee",38
42929,"Krell Sector 0018","Beginners",57
42971,"Murphrid 432 Sector 0018","Officers",77
43000,"New Chicago Sector 0018","Beginners",64
43015,"Doggle Sector 0018","Giant Melee",46
43041,"Rigel Sector 0018","Officers",87
43051,"Packlidia Sector 0018","Beginners",62
43070,"Scoptor Sector 0018","Teams of 2",94
43081,"Fussbar Sector 0018","Officers",74
43082,"Toltek 12 Sector 0018","Giant Melee",508
43083,"Zarop-Opar Sector 0018","Stellar Cartography",117
43119,"Sif Sector 0018","Senior Officers",114
43171,"Gotti's Hideout Sector 0018","Giant Melee",62
43230,"Cave World Sector 0018","Officers",56
43255,"Turning World Sector 0019","Beginners",85
43293,"Crete Sector 0019","Beginners",83
43387,"Alexandria Sector 0019","Giant Melee",96
43407,"Cue Ball Sector 0019","Officers",78
43452,"Mao 2 Sector 0019","Teams of 2",114
43461,"Cuhia Sector 0019","Giant Melee",75
43467,"Nervondonia Sector 0019","Beginners",69
43490,"Minhabotia Sector 0019","Senior Officers",118
43499,"Home Sector 0019","Giant Melee",97
43500,"Galibor's World Sector 0019","Stellar Cartography",163
43590,"Planet 1801 Sector 0019","Teams of 2",92
43596,"Upikarium Sector 0019","Beginners",75
43602,"Yukindo Sector 0019","Giant Melee",44
43696,"Moriak Sector 0019","Giant Melee",62
43720,"New Boston Sector 0019","Beginners",71
43730,"Thi Alpha Chi Sector 0019","Officers",82
43830,"Thorak Sector 0019","Beginners",79
43835,"New Philli Sector 0019","Giant Melee",96
43869,"Orion Sector 0019","Officers",89
43883,"Delphi Sector 0019","Beginners",114
43890,"Planet X Sector 0019","Teams of 3",58
43909,"Remit Sector 0019","Officers",89
43940,"Carsonio Sector 0019","Teams of 3",142
43941,"Under World Sector 0019","Officers",102
43945,"Dark World Sector 0019","Giant Melee",135
43976,"Rock Sector 0019","Beginners",66
44023,"Australis Sector 0019","Senior Officers",68
44044,"Toltek 12 Sector 0019","Giant Melee",139
44045,"Sadera Sector 0019","Stellar Cartography",95
44074,"Olive Sector 0019","Giant Melee",70
44075,"Forel Sector 0019","Beginners",61
44095,"Centouria Sector 0019","Teams of 3",83
44160,"Zol Sector 0019","Officers",115
44222,"Colony 5 Sector 0019","Giant Melee",55
44271,"Outer World Sector 0019","Beginners",72
44335,"Orionis II Sector 0019","Giant Melee",79
44360,"Cygnet Sector 0019","Beginners",73
44417,"Pyxis Sector 0019","Teams of 3",77
44422,"Lola 23a Sector 0019","Officers",103
44485,"Fornax Sector 0019","Giant Melee",108
44489,"Alpha Beta Sector 0019","Beginners",131
44529,"Spica Sector 0019","Officers",62
44553,"Mao 6 Sector 0019","Beginners",109
44577,"Toltek 12 Sector 0019","Giant Melee",40
44606,"New New York Sector 0019","Beginners",63
44663,"Cumo Sector 0020","Giant Melee",101
44671,"Gamma Hydra Sector 0020","Officers",121
44729,"Scorpius Sector 0020","Beginners",49
44772,"New New Jersy Sector 0020","Teams of 3",49
44790,"Tanascuis Sector 0020","Officers",103
44811,"Farpoint Sector 0020","Giant Melee",104
44813,"Cylon Sector 0020","Senior Officers",75
44844,"Baseball Sector 0020","Beginners",71
44859,"YouTwo Sector 0020","Giant Melee",136
44860,"Colony 5 Sector 0020","Stellar Cartography",98
44861,"Chrome Sector 0020","Teams of 3",93
44928,"New Bohemia Sector 0020","Beginners",122
45007,"Alkes Sector 0020","Giant Melee",77
45042,"Green Planet Sector 0020","Officers",49
45109,"Rappaport Sector 0020","Beginners",94
45166,"Shwarts Sector 0020","Teams of 3",62
